,DIA.,AMAX,PERIOD
0,103.87,0.12,10.443
1,24.57,0.21,6.893
2,38.25,0.1,5.974
3,33.46,0.31,10.7657
4,50.15,0.45,5.23
5,28.61,0.51,16.507
6,31.84,0.56,27.0
7,30.56,0.37,6.351
8,48.21,0.34,7.1663
9,85.95,0.28,16.285999999999998
10,39.78,0.93,5.562
11,25.39,0.37,8.3458
12,34.37,0.49,11.73
13,70.8,0.35,6.193
14,33.04,0.41,20.299
15,39.18,0.11,12.4886
16,48.08,0.26,5.5360000000000005
17,31.75,0.64,14.283
18,45.6,0.3,18.52
19,31.18,0.23,4.8164
20,33.54,0.28,6.103
21,43.01,0.36,8.55
22,26.15,0.49,7.367999999999999
23,21.4,0.19,12.09
24,27.33,0.36,12.581
25,27.52,0.17,13.308
26,24.71,0.04,10.07
27,35.52,0.91,44.9
28,31.67,0.4,5.794
29,31.53,0.23,2.7872
30,36.95,0.33,5.4312
31,35.76,0.26,82.5
32,34.8,0.2,5.0844
33,33.23,0.94,6.5447
34,16.46,0.2,12.0
35,35.56,0.34,12.085
36,31.25,0.11,28.3
37,23.05,0.7,9.073
38,33.65,0.56,15.2616
39,15.79,1.0,491.4
40,26.0,0.37,5.4221
41,20.44,0.07,18.13
42,21.7,0.46,8.8776
43,26.52,0.86,5.5841
44,23.47,0.35,6.267
45,22.97,0.48,9.38
46,34.16,0.46,22.93
47,25.73,0.36,7.25
48,25.17,0.65,11.9432
49,31.13,0.15,4.9
50,21.23,0.5,6.357
51,28.75,0.4,8.7
52,29.49,0.52,8.17
53,22.41,0.54,7.5
54,28.44,0.09,25.0
55,26.16,0.26,7.115
56,18.33,0.29,8.996
58,32.25,0.35,7.24
59,32.38,0.14,11.6
60,25.98,0.33,7.95
61,27.04,0.27,10.5559
62,31.3,0.41,6.2545
63,24.17,0.32,4.742
64,21.4,0.17,9.222999999999999
65,22.41,0.2,8.8
66,20.44,0.46,5.4699
67,12.9,0.46,35.399
68,27.92,0.23,18.0
69,23.47,0.48,18.72
70,18.82,0.4,6.318
71,23.13,0.5,3.2106
72,24.26,0.08,30.049
73,19.52,0.16,3.139
75,18.64,0.1,25.0
77,26.94,0.04,4.622
78,18.38,0.52,3.67
79,10.73,0.6,7.004
80,21.56,0.24,25.478
81,30.45,0.15,7.462000000000001
82,30.25,0.38,71.34
83,24.54,0.29,6.563
84,18.83,0.36,29.765
85,19.52,0.45,6.4571
